Code,Company,City,Country
SAXU,NOBLE CONTAINER LEASING LIMITED,"JORDAN, KOWLOON",HK
SAZU,SEVEN ASSET LTD,IPSWICH IP1 1XF,United Kingdom
SBGU,SEA STAR LINE LLC,"JACKSONVILLE, FL 32256",United States
SBHU,C. STEINWEG OMAN LLC,LIWA,Oman
SBIU,"SEA BOX, INC","CINNAMINSON, NJ 08077, New Jersey",United States
SBKU,SEABROOK TANK SERVICES LTD,BRIGHTON-LE-SANDS / LIVERPOOL,United Kingdom
SBOU,SEACO SRL,BRIDGETOWN BB11144,Barbados
SBPU,SATYESH BRINECHEM PRIVATE LIMITED,Ahmedabad,India
SBSU,SBS CONTAINERS LIMITED,LIMASSOL,Cyprus
SBTU,ООО SIBTRANS,Moscow,Russian Federation
SCBU,SCANDI BULK AB,Gothenburg,Sweden
SCDU,GB TECHNICAL COATINGS LIMITED,"LANCASHIRE, BB1 3BD",United Kingdom
SCEU,SEACO SRL,BRIDGETOWN BB11144,Barbados
SCFU,SCF GROUP,Adelaide,Australia
SCHU,SYNTHESIS CHIMICA S.R.L.,CASTELLO D'AGOGNA PV,Italy
SCKU,SCK-CEN,MOL,Belgium
SCLU,SMART CONTAINER LINES PTE LTD,Singapore,Singapore
SCMU,MAERSK A/S,Copenhagen,Denmark
SCNU,SEA- CARGO AS,NESTTUN,Norway
SCPU,SEACO SRL,BRIDGETOWN BB11144,Barbados
SCQU,SEA CONNECT UAB,KLAIPEDA,Lithuania
SCSU,CARU CONTAINERS BV,ROTTERDAM,Netherlands
SCTU,SOUTHCOAST TRANSPORT,,Ireland
SCVU,SECORA CONTAINERS SP. Z O.O.,Bydgoszcz,Poland
SCXU,SEACO SRL,BRIDGETOWN BB11144,Barbados
SCZU,SEACO SRL,BRIDGETOWN BB11144,Barbados
SDCU,SC SADACHIT PRODCOM SRL,Turda,Romania
SDDU,SEACUBE CONTAINERS LLC,"WOODCLIFF LAKE, N.J. 07677",United States
SDGU,PT. SERBA DINAMIK INDONESIA,JAKARTA,Indonesia
SDIU,TREDI,Saint-Vulbas,France
SDLU,SODIMAC S.A.,Santiago,Chile
SDMU,MARS COMPANY,takasaki city gunnma,Japan
SDNU,SEDNA CONTAINERS B.V.,Landsmeer,Netherlands
SDOU,SPINNAKER EQUIPMENT SERVICES INC.,"San Francisco, CA 94111",United States
SDWU,FRANS DE WIT INTERNATIONAL BV,MOERDIJK,Netherlands
SEAU,SEALAND,"FLORHAM PARK, NJ 07932",United States
SEBU,ACTIVE CONTAINERS SERVICES BV,ROTTERDAM-VONDELINGPLAAT,Netherlands
SECU,EUROTAINER SA,Rotterdam,Netherlands
SEDU,SCHENKER (DEUTSCHLAND) AG,EUSKIRCHEN,Germany
SEEU,FUGRO GEOSERVICES,"FALMOUTH, CORNWALL",United Kingdom
SEFU,CROWLEY CARIBBEAN SERVICES LLC,"JACKSONVILLE, FL 32225",United States
SEGU,SEACO SRL,BRIDGETOWN BB11144,Barbados
SEIU,TOV SOLEXIM,Kyiv,Ukraine
SEKU,SEACO SRL,BRIDGETOWN BB11144,Barbados
SELU,SEACO SRL,BRIDGETOWN BB11144,Barbados
SEMU,SEACO SRL,BRIDGETOWN BB11144,Barbados
SESU,SPINNAKER EQUIPMENT SERVICES INC.,"San Francisco, CA 94111",United States
SETU,ORYS TRICASTIN,PIERRELATTE,France
SEUU,STONEHAVEN ENGINEERING LTD,Stonehaven,United Kingdom
SEVU,SEVEL SPA SOCIETA EUROPA,ATESSA-CH,Italy
SEXU,CONTAINER NORWAY AS,FJELLSTRAND,Norway
SEYU,SEYCHELLES PETROLEUM COMPANY LTD,"VICTORIA, MAHE",Seychelles
SFBU,SOLVAY FLUOR GMBH,HANNOVER,Germany
SFEU,SF ENTERPRISES,"OAKLAND, CA 94607",United States
SFFU,ACB AGENCIES,EKEREN,Belgium
SFIU,SFI TRANSIT,Pointe aux sables,Mauritius
SFRU,SCANFOR BVBA,WOMMELGEM,Belgium
SFSU,"CJSC ""SEAFOOD-SERVICE""",Minsk,Belarus
SFUU,"SAN FU CHEMICAL CO, LTD","SHAN-HUA, TAINAN","Taiwan, China"
SGAU,MINISTERE DE LA DEFENSE (DCSID),VERSAILLES,France
SGBU,SOUTHERN INDUSTRIAL GAS SDN BHD,SENAI JOHOR,Malaysia
SGCU,SOGECO INTERNATIONAL SA,PARADISO - LUGANO,Switzerland
SGIU,SCOTLAND GAS NETWORKS,"NEWBRIDGE, EH28 8TG - SCOTLAND",United Kingdom
SGKU,SYNERGY GASES (K) LTD,MOMBASA,Kenya
SGLU,SICGIL INDUSTRIAL GASES LTD,CHENNAI - TAMIL NADU,India
SGMU,SIGMA DENIZCILIK KONT.VE.LOJ.SANT.TIC.,ISTANBUL,Turkey
SGNU,SOGIN SPA,CAORSO PC,Italy
SGPU,SSB CRYOGENIC EQUIPMENT PTE LTD,Singapore,Singapore
SGRU,SOGECO INTERNATIONAL SA,PARADISO - LUGANO,Switzerland
SGSU,SOUTHERN GAS SERVICES LIMITED,Rolleston West,New Zealand
SGTU,SERLUX,LUXEMBOURG,Luxembourg
SHCU,SHANGHAI STAR HOUSE CO . LTD,Huinan TOWN,China
SHEU,SHL OFFSHORE CONTRACTORS BV,ZOETERMEER,Netherlands
SHKU,SEA HAWK LINES PVT LIMITED,CHENNAI,India
SHLU,SMITH-HOLLAND BV,SPIJKENISSE,Netherlands
SHMU,SACHEM JAPAN GODO KAISHA,HIGASHIOSAKA,Japan
SHNU,KARL SCHMIDT SPEDITION GMBH & CO KG,HEILBRONN,Germany
SHOU,SHIPPER OWNED CONTAINER LLC,"MCKINNEY, TX 77380",United States
SHSU,"LLC ""TEKHGAZ""",Blagoveshchensk (Amur region),Russian Federation
SHVU,PRIMA LNG,Berchem,Belgium
SIAU,SIAD SOCIETA ITALIANA ACETILENE & DERIVATI SPA,BERGAMO BG,Italy
SIBU,GE SIMONS INTERNATIONAL TRANSPORT BV,HILVARENBEEK,Netherlands
SICU,SUNRISE CONTAINER SERVICE CO. LTD,Mahe,Seychelles
SIDU,CHEMIKALIEN UND FLUESSIGKEITSTRANSPORTE A. SIEPMANN GMBH,DUISBURG,Germany
SIEU,SOMER S ISLE SHIPPING LTD,HAMILTON,Bermuda
SIFU,NEWPORT EUROPE B.V.,Moerdijk,Netherlands
SIIU,THE SHIPPING CORPORATION OF INDIA LTD,MUMBAI,India
SIKU,SAMUDERA SHIPPING LINE LTD,Singapore,Singapore
SILU,SUN INTERMODAL LIMITED,London,United Kingdom
SIMU,"SHANGHAI SAFE-TRANSPORT CHEMICAL LOGISTICS CO.,LTD",SHANGHAI,China
SINU,BBC CHARTERING GMBH - AS AGENTS,LEER,Germany
SIPU,PT PERUSAHAAN PELAYARAN NUSANTARA PANURJWAN,JAKARTA,Indonesia
SIRU,OOO VED CONTACT,"NOVOSIBIRSK,",Russian Federation
SISU,ELBTAINER TRADING GMBH,Barsbüttel,Germany
SITU,SITC CONTAINER LINES CO LTD,WANCHAI,HK
SJIU,PT. SINARJAYA INTIMPERKASA,SURABAYA,Indonesia
SJKU,SARJAK CONTAINER LINES PVT LTD,MUMBAI,India
SJRU,"SUZHOU CRYSTAL CLEAR CHEMICAL CO,LTD",SUZHOU,China
SJUU,S JONES CONTAINERS LTD,WALSALL,United Kingdom
SKAU,SKAFF CRYOGENICS INC,"BRENTWOOD, NH-03833",United States
SKBU,SWEDISH NUCLEAR FUEL AND WASTE MANAGEMENT,OSKARSHAMN,Sweden
SKCU,MAMMOET EUROPE BV,SCHIEDAM,Netherlands
SKHU,SINOKOR MERCHANT MARINE CORP,SEOUL,"Korea, Republic of"
SKIU,BLUE SKY INTERMODAL (UK) LTD,Marlow (Buckinghamshir),United Kingdom
SKLU,SINOKOR MERCHANT MARINE CORP,SEOUL,"Korea, Republic of"
SKMU,MUTTI SRO,TRNAVA,Slovakia
SKNU,KUEHNE + NAGEL AS,Oslo,Norway
SKRU,SINOKOR MERCHANT MARINE CORP,SEOUL,"Korea, Republic of"
SKYU,CAI INTERNATIONAL,"SAN FRANCISCO, CA 94105",United States
SLBU,ETUDES ET PRODUCTION SCHLUMBERGER,CLAMART,France
SLCU,SPECTRA TANKTAINER LOGISTICS PTE. LTD,SINGAPORE,Singapore
SLEU,SPINNAKER EQUIPMENT SERVICES INC.,"San Francisco, CA 94111",United States
SLHU,SEA LLOYD SHIPPING LINES PTE LTD,SINGAPORE,Singapore
SLJU,SEALEASE N.V.,"WILLEMSTAD, CURACAO,",Netherlands Antilles
SLLU,SEA-LAND LOGISTICS ENTERPRISES PTE LTD,Singapore,Singapore
SLPU,SEAGULL CONTAINER SERVICES PTE. LTD.,Singapore,Singapore
SLRU,SILVA LS SP. Z O.O.,Mielec,Poland
SLSU,SPINNAKER LEASING CORPORATION,"San Francisco, CA 94111-2602",United States
SLTU,SCM LINES TRANSPORTES MARITIMOS,FUNCHAL-MADEIRA,Portugal
SLVU,SEALEAD SHIPPING DMCC,DUBAI,United Arab Emirates
SLWU,SALTWORKS TECHOLOGIES INC,Richmond,Canada
SLZU,CS LEASING PTE LTD,,Singapore
SMAU,SMART CONTAINERS KAMIL BIESZK,BANINO,Poland
SMCU,SM CONTAINER LINES,"Busan,","Korea, Republic of"
SMDU,3M COMPANY,"ST PAUL, MN 55144-1000",United States
SMEU,SMET BUILDING PRODUCTS LIMITED,Newry,United Kingdom
SMHU,STAALDUINEN LOGISTICS,MAASDIJK,Netherlands
SMIU,ANGOLANA DA NAVEGACAO,LUANDA,Angola
SMLU,SEABOARD MARINE LTD,"MIAMI, FL 33166",United States
SMPU,SCS MULTIPORT B.V.,AMSTERDAM,Netherlands
SMQU,SMQ LTD,"TAIPEI CITY,","Taiwan, China"
SMRU,SOCIETE DE MAINTENANCE ET,SETE,France
SMSU,PT.SULAWESI MINING INVESTMENT,JAKARTA,Indonesia
SMTU,"SEMIMATEX CO.,LTD",Longyan,China
SMUU,CMA-CGM,MARSEILLE CEDEX 02,France
SNAU,SMARTLAGER NORGE AS,STAVERN,Norway
SNBU,"SINOTRANS CONTAINER LINES CO.,LTD.",SHANGHAI,China
SNCU,INTERNATIONAL CONTAINER LEASE INC,BEIJING,China
SNDU,CANDO LOGISTICS LLC,"Berlin, WI 54923",United States
SNFU,SNF S.A.S,ANDREZIEUX CEDEX,France
SNGU,SINOTRANS (GERMANY) GMBH,HAMBURG,Germany
